CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
215,WALMART,LIDER HIPER LOS MORROS,RIQUELME 69,EL BOSQUE,"Lun-Sáb 08:00-22:00
Dom 09:00-22:00 
Fest 08:00-22:00",345157,6286944,-70.6678183800384,-33.5459163082289
217,WALMART,LIDER HIPER HUECHURABA,AV. AMERICO VESPUCIO 1737,HUECHURABA,"Lun-Jun 08:00-22:00
Vie-Sáb 08:00-22:30
Dom y Fest 08:00-22:00",343910,6306609,-70.6778212680362,-33.3684386191972
218,WALMART,LIDER HIPER AV. CENTRAL,AV. LOS PAJARITOS 2689,MAIPU,"Lun-Sáb 08:00-22:00
Dom y Fest 09:00-22:00",336813,6291899,-70.757311,-33.503596
219,WALMART,LIDER HIPER MAIPU,AV. LOS PAJARITOS 4500,MAIPU,Lun-Dom y Fest. 08:00-22:00,337827,6293961,-70.7454617303113,-33.4815673499888
220,WALMART,LIDER HIPER QUILIN,AV. AMERICO VESPUCIO 3100,PEÑALOLEN,"Lun-Sáb 08:00-22:00
Dom y Fest. 08:30-22:00
",353268,6293801,-70.5793607501303,-33.4852339316205
221,WALMART,LIDER HIPER VESPUCIO MAIPU,AV. AMERICO VESPUCIO NORTE 1955,MAIPU,Lun-Dom 08:30-22:00,336486,6295041,-70.7596833680178,-33.4715098425775
222,WALMART,LIDER HIPER CORDILLERA,AV. LOS TOROS 05441,PUENTE ALTO,Lun-Dom y Fest. 08:30-22:00,355378,6284823,-70.5581064108238,-33.5664713042779
223,WALMART,LIDER HIPER VICUÑA MACKENNA,AV. VICUÑA MACKENA 7196,LA FLORIDA,Lun-Dom y Fest. 08:30-22:00,351302,6289827,-70.6011757750608,-33.5207973280328
224,WALMART,LIDER HIPER MACUL,AV. JOSE PEDRO ALESSANDRI 2127,MACUL,"Lun-Sáb 08:00-22:00
Dom y Fest. 08:30-22:00
",351433,6295002,-70.5989014600478,-33.4741531626615
225,WALMART,LIDER HIPER VITACURA,BUENAVENTURA 1770,VITACURA,"Lun-Sáb 07:30-22:00
Dom 08:30-22:00",354148,6304767,-70.5681058850668,-33.3864876806606
226,WALMART,LIDER HIPER PLAZA VESPUCIO,FROILAN ROA 7107,LA FLORIDA,"Lun-Sáb 08:00-22:30
Dom y Fest 08:30-22:30",351452,6290543,-70.6001898275732,-33.5145345077161
227,WALMART,LIDER EXPRESS COLON,AV. CUARTO CENTENARIO 1016,LAS CONDES,Lun-Dom 08:30-22:30,355555,6301316,-70.5535460224003,-33.4177873910042
228,WALMART,LIDER EXPRESS LATADIA,AV. AMERICO VESPUCIO SUR 1790,LAS CONDES,Lun-Dom 08:30-22:30,353607,6300097,-70.5746863701926,-33.428513593411
229,WALMART,LIDER HIPER TALAGANTE,LIBERTADOR BERNARDO O'HIGGINS 807,TALAGANTE,"Lun-Sáb 08:00-22:00
Dom y Fest. 08:30-22:00
",321495,6273615,-70.9252302032062,-33.6623790828303
230,WALMART,LIDER EXPRESS P. DE VALDIVIA,AV. PEDRO DE VALDIVIA 1885,PROVIDENCIA,Lun-Dom 08:30-22:30,350605,6298769,-70.6071853448527,-33.4400811646939
231,WALMART,LIDER EXPRESS ESTORIL,AV. LAS CONDES 10295,LAS CONDES,Lun-Dom 08:30-22:30,357322,6305062,-70.5339438756033,-33.384250004664
232,WALMART,LIDER EXPRESS M. MONTT,AV. MANUEL MONTT 80,PROVIDENCIA,Lun-Dom 08:30-22:30,349417,6299936,-70.6197662036586,-33.4293901179188
